Sample	command
Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_1.fq.gz --in2 Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_2.fq.gz --out1 Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_1.fq.gz --in2 Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_2.fq.gz --out1 Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_1.fq.gz --in2 Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_2.fq.gz --out1 Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_1.fq.gz --in2 Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_2.fq.gz --out1 Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_1.fq.gz --in2 Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_2.fq.gz --out1 Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_1.fq.gz --in2 Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_2.fq.gz --out1 Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_1.fq.gz --in2 Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_2.fq.gz --out1 Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_1.fq.gz --in2 Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_2.fq.gz --out1 Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_1.fq.gz --in2 Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_2.fq.gz --out1 Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_1.fq.gz --in2 brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_2.fq.gz --out1 brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
