Sample	command
muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_1.fq.gz --in2 muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_2.fq.gz --out1 muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_1.fq.gz --in2 muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_2.fq.gz --out1 muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_1.fq.gz --in2 muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_2.fq.gz --out1 muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_1.fq.gz --in2 muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_2.fq.gz --out1 muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_1.fq.gz --in2 muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_2.fq.gz --out1 muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_1.fq.gz --in2 muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_2.fq.gz --out1 muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_1.fq.gz --in2 muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_2.fq.gz --out1 muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_1.fq.gz --in2 muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_2.fq.gz --out1 muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_1.fq.gz --in2 muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_2.fq.gz --out1 muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_1.fq.gz --in2 muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_2.fq.gz --out1 muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_1.fq.gz --in2 muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_2.fq.gz --out1 muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_1.fq.gz --in2 muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_2.fq.gz --out1 muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_1.fq.gz --in2 muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_2.fq.gz --out1 muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_1.fq.gz --in2 muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_2.fq.gz --out1 muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_1.fq.gz --in2 muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_2.fq.gz --out1 muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_1.fq.gz --in2 muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_2.fq.gz --out1 muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_1.fq.gz --in2 spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_2.fq.gz --out1 spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_1.fq.gz --in2 spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_2.fq.gz --out1 spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_1.fq.gz --in2 spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_2.fq.gz --out1 spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_1.fq.gz --in2 spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_2.fq.gz --out1 spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_1.fq.gz --in2 spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_2.fq.gz --out1 spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_1.fq.gz --in2 spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_2.fq.gz --out1 spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_1.fq.gz --in2 spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_2.fq.gz --out1 spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_1.fq.gz --in2 spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_2.fq.gz --out1 spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_1.fq.gz --in2 spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_2.fq.gz --out1 spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_1.fq.gz --in2 spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_2.fq.gz --out1 spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_1.fq.gz --in2 spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_2.fq.gz --out1 spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_1.fq.gz --in2 spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_2.fq.gz --out1 spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_1.fq.gz --in2 spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_2.fq.gz --out1 spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_1.fq.gz --in2 spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_2.fq.gz --out1 spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_1.fq.gz --in2 spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_2.fq.gz --out1 spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_1.fq.gz --in2 spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_2.fq.gz --out1 spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_1.fq.gz --in2 spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_2.fq.gz --out1 spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_1.fq.gz --in2 spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_2.fq.gz --out1 spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_1	/home1/alanxu/fastp --in1 spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_1.fq.gz --in2 spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_2.fq.gz --out1 spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_1_trimmed.fq.gz --out2 spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
