Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6	52.27	6144409.0							
brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_1			26.354499999999998	0.967794	2720945635.0	23512298.0	0.554254	98.09810904856805	64.73765221556978
brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6	54.3	6035940.0							
brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_1			23.5707	0.967729	2431698469.0	22229938.0	0.541164	98.03361570150987	67.88554880808783
brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6	55.32	6323395.0							
brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_1			21.324199999999998	0.969128	2398662034.0	22861028.0	0.542582	97.75396629786373	71.52493435043058
brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6	57.11	5859179.0							
brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_1			23.1766	0.966767	2408263897.0	20520594.0	0.543238	97.85716186393613	61.846129694373076
brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6	56.43	5802702.0							
brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_1			19.4433	0.963339	2275222195.0	20564606.0	0.55028	95.02495001448621	67.24533726532685
brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6	49.75	5902586.0							
brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_1			28.308899999999998	0.964752	2907740343.0	23730202.0	0.581245	97.03351483720998	56.09948381717194
brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6	14.09	1942811.0							
brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_1			25.7498	0.969469	2532547087.0	27585712.0	0.578447	98.31939302377668	77.19081389462201
brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6	13.55	1840608.0							
brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_1			32.6674	0.968073	2838022025.0	27175522.0	0.580385	98.60476305376804	70.16676675114886
brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6	52.27	35421034.0							
brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_1			22.697300000000002	0.970404	12713836439.0	135520164.0	0.555599	97.58392517038642	77.9480714740901
brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6	12.31	1456473.0							
brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_1			33.0851	0.967166	2550279159.0	23667644.0	0.582591	98.25460530762192	67.09659584268996
brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6	52.05	27917546.0							
