Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_2	51.951213257292245	54.0	150.0	150	45.45454545454545	10837613.0
brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_1	50.357457549446956	54.0	150.0	150	36.36363636363637	11984073.0
brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_2	50.233195440141216	54.0	150.0	150	45.45454545454545	11984073.0
brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_1	48.269533637773954	53.0	150.0	150	27.27272727272727	11337916.0
brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_2	48.16368111081153	52.0	150.0	150	36.36363636363637	11337916.0
brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_1	46.02240023923346	52.0	150.0	150	27.27272727272727	11693146.0
brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_2	46.094789292489665	52.0	150.0	150	27.27272727272727	11693146.0
brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_1	45.51407190981983	53.0	150.0	150	27.27272727272727	10484973.0
brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_2	45.28156376420904	53.0	150.0	150	36.36363636363637	10484973.0
brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_1	44.82599928095892	53.0	150.0	150	27.27272727272727	10820635.0
brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_2	44.153139271543964	53.0	150.0	150	36.36363636363637	10820635.0
brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_1	53.39950776700071	57.0	150.0	150	36.36363636363637	12227838.0
brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_2	51.86537007126347	56.0	150.0	150	45.45454545454545	12227838.0
brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_1	80.02921907926	54.0	150.0	150	36.36363636363637	14028622.0
brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_2	77.13457043992508	54.0	150.0	150	36.36363636363637	14028622.0
brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_1	82.42194407323258	55.0	150.0	150	36.36363636363637	13780025.0
brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_2	79.60454444782275	55.0	150.0	150	27.27272727272727	13780025.0
brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_1	53.056859309846956	52.0	150.0	150	36.36363636363637	69437750.0
brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_2	52.93306220884333	52.0	150.0	150	36.36363636363637	69437750.0
brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_1	83.48077017009136	55.0	150.0	150	27.27272727272727	12044038.0
brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_2	80.07842162224115	55.0	150.0	150	27.27272727272727	12044038.0
brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_1	59.31804110165348	53.0	150.0	150	36.36363636363637	54366157.0
brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_2	59.04509792258396	52.0	150.0	150	36.36363636363637	54366157.0
brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_1	51.11710449632973	53.0	150.0	150	36.36363636363637	11303424.0
brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_2	50.265695996051726	52.0	150.0	150	36.36363636363637	11303424.0
brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_1	42.18254583381933	52.0	150.0	150	27.27272727272727	12574598.0
brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_2	42.53896687600602	51.0	150.0	150	27.27272727272727	12574598.0
brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_1	45.780611116046835	52.0	150.0	150	27.27272727272727	8866566.0
brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_2	45.34399166413209	52.0	150.0	150	27.27272727272727	8866566.0
brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_1	55.880110475566156	56.0	150.0	150	36.36363636363637	11181753.0
brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_2	55.64250507766307	56.0	150.0	150	45.45454545454545	11181753.0
brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_1	44.98864840811623	52.0	150.0	150	27.27272727272727	12381297.0
brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_2	45.01807037685309	51.0	150.0	150	27.27272727272727	12381297.0
brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_1	46.31962332254057	52.0	150.0	150	27.27272727272727	11243550.0
brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_2	46.65076323375863	51.0	150.0	150	27.27272727272727	11243550.0
brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_1	48.147703749584004	53.0	150.0	150	27.27272727272727	13978752.0
brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_2	48.40806346580918	53.0	150.0	150	27.27272727272727	13978752.0
muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_1	75.37171360422593	58.0	150.0	150	36.36363636363637	16618975.0
muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_2	72.71155538307352	58.0	150.0	150	45.45454545454545	16618975.0
muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_1	77.67062819246779	58.0	150.0	150	45.45454545454545	15088973.0
muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_2	75.99920431079607	57.0	150.0	150	45.45454545454545	15088973.0
muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_1	75.20505175910665	57.0	150.0	150	36.36363636363637	20546399.0
muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_2	72.58049580148322	57.0	150.0	150	45.45454545454545	20546399.0
muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_1	75.41214270823784	59.0	150.0	150	36.36363636363637	15346732.0
muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_2	73.1711265708328	59.0	150.0	150	45.45454545454545	15346732.0
muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_1	76.58113488406367	57.0	150.0	150	36.36363636363637	19425249.0
muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_2	74.19875252413954	57.0	150.0	150	45.45454545454545	19425249.0
muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_1	75.85260674857378	58.0	150.0	150	36.36363636363637	18080452.0
muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_2	73.39846974670505	57.0	150.0	150	45.45454545454545	18080452.0
muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_1	74.14707696596105	59.0	150.0	150	36.36363636363637	16779319.0
muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_2	71.37313675208424	58.0	150.0	150	45.45454545454545	16779319.0
muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_1	73.77519409659716	58.0	150.0	150	36.36363636363637	14241702.0
muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_2	72.07143543551072	57.0	150.0	150	45.45454545454545	14241702.0
muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_1	76.15051150990124	58.0	150.0	150	36.36363636363637	19020505.0
muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_2	73.35762216466634	57.0	150.0	150	45.45454545454545	19020505.0
muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_1	75.27578533846142	58.0	150.0	150	36.36363636363637	17120272.0
muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_2	73.11103765645365	57.0	150.0	150	45.45454545454545	17120272.0
muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_1	78.76641832481086	60.0	150.0	150	36.36363636363637	23566575.0
muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_2	75.56665330244833	60.0	150.0	150	45.45454545454545	23566575.0
muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_1	77.71929693725582	60.0	150.0	150	36.36363636363637	18149208.0
muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_2	74.6418445511387	60.0	150.0	150	45.45454545454545	18149208.0
muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_1	77.25557743959241	59.0	150.0	150	36.36363636363637	20317634.0
muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_2	74.56428330908209	59.0	150.0	150	45.45454545454545	20317634.0
muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_1	79.01221149271392	61.0	150.0	150	45.45454545454545	20454489.0
muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_2	76.21539846146513	60.0	150.0	150	45.45454545454545	20454489.0
muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_1	73.83431103904012	60.0	150.0	150	36.36363636363637	17336624.0
muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_2	71.46616912707293	59.0	150.0	150	45.45454545454545	17336624.0
muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_1	82.96868868700628	54.0	150.0	150	45.45454545454545	8857717.0
muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_2	81.9817174038156	53.0	150.0	150	45.45454545454545	8857717.0
muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_1	77.57908439786584	59.0	150.0	150	36.36363636363637	20233748.0
muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_2	74.08134313018658	58.0	150.0	150	45.45454545454545	20233748.0
muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_1	77.58977143114174	61.0	150.0	150	36.36363636363637	18113268.0
muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_2	74.07072766528249	60.0	150.0	150	45.45454545454545	18113268.0
muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_1	79.76906225630434	61.0	150.0	150	36.36363636363637	23018908.0
muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_2	76.47788795927889	60.0	150.0	150	45.45454545454545	23018908.0
spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_1	91.14007909162926	51.0	150.0	150	27.27272727272727	19072397.0
spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_2	87.97164019404248	51.0	150.0	150	45.45454545454545	19072397.0
spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_1	89.69039804022148	51.0	150.0	150	36.36363636363637	21486064.0
spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_2	86.29747767951298	51.0	150.0	150	45.45454545454545	21486064.0
spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_1	63.74541233564644	53.0	150.0	150	36.36363636363637	21661144.0
spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_2	63.729175150062986	53.0	150.0	150	45.45454545454545	21661144.0
spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_1	81.19089482771058	51.0	150.0	150	36.36363636363637	17448037.0
spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_2	79.3912144713871	50.0	150.0	150	45.45454545454545	17448037.0
spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_1	84.27597095187859	52.0	150.0	150	45.45454545454545	18936388.0
spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_2	82.04495597966985	52.0	150.0	150	45.45454545454545	18936388.0
spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_1	86.60933517443183	53.0	150.0	150	45.45454545454545	16473346.0
spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_2	82.04776477572108	53.0	150.0	150	45.45454545454545	16473346.0
spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_1	85.53345173702768	54.0	150.0	150	45.45454545454545	16137988.0
spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_2	81.1958566276884	53.0	150.0	150	45.45454545454545	16137988.0
spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_1	81.81019222285836	54.0	150.0	150	36.36363636363637	28484444.0
spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_2	79.43316140315054	54.0	150.0	150	45.45454545454545	28484444.0
spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_1	90.56782377965723	54.0	150.0	150	45.45454545454545	15063542.0
spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_2	84.3876147136502	54.0	150.0	150	45.45454545454545	15063542.0
spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_1	87.09376881860248	53.0	150.0	150	45.45454545454545	24006935.0
spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_2	86.76251281261206	52.0	150.0	150	36.36363636363637	24006935.0
spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_1	83.62069035592663	61.0	150.0	150	36.36363636363637	20082048.0
spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_2	79.72368328162287	61.0	150.0	150	45.45454545454545	20082048.0
spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_1	89.30987113891102	54.0	150.0	150	45.45454545454545	16202538.0
spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_2	84.75408578845872	54.0	150.0	150	45.45454545454545	16202538.0
spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_1	83.80477092316556	49.0	150.0	150	27.27272727272727	13325614.0
spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_2	79.80176988243419	49.0	150.0	150	27.27272727272727	13325614.0
spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_1	86.08299727674463	58.0	150.0	150	36.36363636363637	17481974.0
spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_2	82.39691943585984	58.0	150.0	150	36.36363636363637	17481974.0
spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_1	91.66587818373945	50.0	150.0	150	27.27272727272727	13831361.0
spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_2	86.33859785286708	50.0	150.0	150	27.27272727272727	13831361.0
spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_1	96.99768852850627	57.0	150.0	150	45.45454545454545	15248331.0
spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_2	94.55561712311501	57.0	150.0	150	45.45454545454545	15248331.0
spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_1	83.71874685230661	49.0	150.0	150	27.27272727272727	15920450.0
spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_2	80.91345452827329	49.0	150.0	150	27.27272727272727	15920450.0
spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_1	82.57361090978571	57.0	150.0	150	45.45454545454545	19447245.0
spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_2	80.01992042224987	57.0	150.0	150	45.45454545454545	19447245.0
spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_1	78.98462219895002	49.0	150.0	150	27.27272727272727	13661404.0
spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_2	76.59141246376166	49.0	150.0	150	27.27272727272727	13661404.0
